id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
77,1777062551395,2026-04-24T20:29:11.395000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,320.8324  x1224  $5,220,561",2316.2,-0.00011457,423491.058,-2723823.76071,-0.0970475964545,4.91888384526
78,1777062671230,2026-04-24T20:31:11.230000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,534.0000  x5983  $13,030,187",77534,0.00099502,27451.84892,3625489.19183,-0.0805448699361,79.5910747941
79,1777062708020,2026-04-24T20:31:48.020000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 637.3167  x62  $25,058",636.68,0.00125,45768.802,-6066.93691,-0.210806786568,1.95624150512
80,1777062711268,2026-04-24T20:31:51.268000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2610  x1213  $2,557,528",86.261,-0.00157032,3226303.6,-12657.05521,-0.109431362218,47.3963240095
81,1777062740409,2026-04-24T20:32:20.409000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0982  x148  $79,025",0.098235,0.00125,326251856,14419.176843,-0.0305296901236,86.5616664096
82,1777062764191,2026-04-24T20:32:44.191000+00:00,sol-usdc,THIN_BOOK,impact excess 12.8bp over spread,86.29,-0.00157347,3231706.24,154320.89476,-0.288883753178,69.1815726085
83,1777062843584,2026-04-24T20:34:03.584000+00:00,icp-usdc,THIN_BOOK,impact excess 8.2bp over spread,2.4628,0.00125,763387.8,63.81067,-0.0689795090282,81.5261791018
84,1777062851709,2026-04-24T20:34:11.709000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,318.8000  x1237  $4,314,138",2318.8,-0.00010052,423481.9664,20786.47276,-0.101242918381,63.6582834672
85,1777062971683,2026-04-24T20:36:11.683000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,557.0000  x6135  $13,175,471",77557,0.00096784,27450.50632,65410.11714,-0.088244198105,56.0487252477
86,1777062998235,2026-04-24T20:36:38.235000+00:00,bnb-usdc,GRINDING_TRAP,px +0.09% 15m (1.0σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.01% 15m,637.44,0.00125,45767.51,-2023.57814,-0.201963270866,7.08013386765
87,1777063008551,2026-04-24T20:36:48.551000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 636.8325  x57  $29,108",637.47,0.00125,45766.884,-2283.02843,-0.197266450613,6.37816436794
88,1777063011752,2026-04-24T20:36:51.752000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2436  x924  $1,650,757",86.677,-0.00147889,3209783.9,1536569.54703,-0.224468183074,85.0633732312
89,1777063040446,2026-04-24T20:37:20.446000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x126  $67,498",0.09847,0.00125,326220110,4348.530375,-0.0253819990862,96.8942638297
